,MSE,MAE,R2 Score
Linear Regression,209.59589151007975,10.319968062928035,0.10257365521214945
Random Forest,205.0051022783335,10.15108076963011,0.12223002905733682
Deep MLP (Proposed),178.80292365025122,9.432212348838739,0.2344198492979085
